Total load,,
MW,,
ENTSO-E,,
date,hour,Value
10/01/2022,18,6009.75
10/01/2022,19,5948.25
10/01/2022,20,5767.5
10/01/2022,21,5568.75
10/01/2022,22,5313
10/01/2022,23,5062.25
11/01/2022,0,4757
11/01/2022,1,4531
11/01/2022,2,4351
11/01/2022,3,4315.5
11/01/2022,4,4430.25
11/01/2022,5,4800.75
11/01/2022,6,5546.5
11/01/2022,7,5904
11/01/2022,8,5832
11/01/2022,9,5630.5
11/01/2022,10,5375.25
11/01/2022,11,5266.5
11/01/2022,12,5222.5
11/01/2022,13,5284.25
11/01/2022,14,5455.75
11/01/2022,15,5726.5
11/01/2022,16,6019.75
11/01/2022,17,6135
11/01/2022,18,6107
11/01/2022,19,6075.25
11/01/2022,20,5892.75
11/01/2022,21,5690.75
11/01/2022,22,5426.75
11/01/2022,23,5160.5
12/01/2022,0,4820.25
12/01/2022,1,4594.5
12/01/2022,2,4422.75
12/01/2022,3,4346.25
12/01/2022,4,4461.5
12/01/2022,5,4820.75
12/01/2022,6,5569.75
12/01/2022,7,5910
12/01/2022,8,5951.75
12/01/2022,9,5902.25
12/01/2022,10,5709.5
12/01/2022,11,5553.25
12/01/2022,12,5562.25
12/01/2022,13,5528.75
12/01/2022,14,5575
12/01/2022,15,5794.75
12/01/2022,16,6037.25
12/01/2022,17,6154.75
12/01/2022,18,6119.25
12/01/2022,19,6073
12/01/2022,20,5892.25
12/01/2022,21,5680
12/01/2022,22,5416.25
12/01/2022,23,5139.75
13/01/2022,0,4838.25
13/01/2022,1,4616.25
13/01/2022,2,4424.5
13/01/2022,3,4367.75
13/01/2022,4,4495.5
13/01/2022,5,4841.5
13/01/2022,6,5594.75
13/01/2022,7,5915.25
13/01/2022,8,5944.75
13/01/2022,9,5914.25
13/01/2022,10,5907.25
13/01/2022,11,5921.5
13/01/2022,12,5935.75
13/01/2022,13,5927.75
13/01/2022,14,5944.25
13/01/2022,15,6020.75
13/01/2022,16,6149.25
13/01/2022,17,6125.5
13/01/2022,18,5980.5
13/01/2022,19,5887
13/01/2022,20,5715.5
13/01/2022,21,5519.5
13/01/2022,22,5310.5
13/01/2022,23,5090.25
14/01/2022,0,4761.5
14/01/2022,1,4524
14/01/2022,2,4318
14/01/2022,3,4219.5
14/01/2022,4,4254
14/01/2022,5,4338.5
14/01/2022,6,4611.75
14/01/2022,7,4909.5
14/01/2022,8,5135.5
14/01/2022,9,5212
14/01/2022,10,5156.25
14/01/2022,11,5111
14/01/2022,12,5019.5
14/01/2022,13,4897
14/01/2022,14,4906.25
14/01/2022,15,5101.75
14/01/2022,16,5388.5
